Orthogroup	Cr	Cr.expr	Cs	Cs.expr
OG0007623	MSYJ002190.1	45.1803	Cs4g14160.1	10.701
OG0007625	MSYJ001260.1	330.78	Cs7g22990.1	4.50043
OG0007627	MSYJ042380.1	0.115112	Cs7g28270.1	0.0976048
OG0007629	MSYJ278210.1	24.459	Cs1g25220.1	42.0654
OG0007630	MSYJ243360.1	0	Cs7g14580.1	0
OG0007632	MSYJ043370.1	322.816	Cs2g23660.1	341.062
OG0007633	MSYJ225770.1	65.3282	Cs5g24820.1	0
OG0007636	MSYJ058910.1	6.2224	Cs2g28340.1	7.21881
OG0007637	MSYJ286840.1	0	Cs2g26320.1	0
OG0007638	MSYJ101820.1	2.39413	Cs6g05420.1	5.71649
OG0007639	MSYJ237580.1	14.6709	Cs8g06830.1	23.93
OG0007641	MSYJ263090.1	0	Cs7g09850.1	2.18312
OG0007642	MSYJ210820.1	5.6771	Cs9g16970.1	2.7331
OG0007643	MSYJ101870.1	23.8568	Cs6g05380.1	23.6024
OG0007646	MSYJ048880.1	1.28994	Cs1g19650.1	2.35161
OG0007647	MSYJ016850.1	0	Cs6g08610.1	0.842037
OG0007648	MSYJ116500.1	13.9974	Cs9g13620.1	59.3934
OG0007649	MSYJ208780.1	0	Cs7g12230.1	0
OG0007651	MSYJ155750.1	0	orange1.1t04145.1	0
OG0007652	MSYJ041810.1	12.9172	Cs1g14360.1	7.93149
OG0007654	MSYJ049130.1	1.51696	Cs1g19350.1	1.16729
OG0007655	MSYJ215010.1	0.585148	Cs5g18560.1	0.397232
OG0007656	MSYJ278890.1	38.3868	Cs1g25910.1	79.5897
OG0007657	MSYJ063200.1	189.005	Cs3g19540.1	36.8476
OG0007658	MSYJ194120.1	22.4077	Cs5g20420.1	223.897
OG0007659	MSYJ190270.1	26.0311	Cs4g03650.1	56.4426
OG0007662	MSYJ031180.1	23.6765	orange1.1t02277.1	15.2914
OG0007663	MSYJ257570.1	174.068	Cs3g23770.1	367.413
OG0007664	MSYJ166090.1	18.1808	Cs9g06890.1	25.7207
OG0007665	MSYJ263200.1	21.9017	Cs7g09920.1	23.4189
OG0007666	MSYJ156870.1	6.24831	Cs7g05720.1	4.42845
OG0007668	MSYJ050150.1	42.403	Cs7g31560.1	80.9819
OG0007670	MSYJ070280.1	33.1357	Cs9g02970.1	87.6112
OG0007671	MSYJ085330.1	19.5521	Cs3g20240.1	21.9205
OG0007674	MSYJ030890.1	6.96098	Cs6g11430.1	10.8588
OG0007675	MSYJ219610.1	103.286	Cs5g30270.1	40.6844
OG0007676	MSYJ082310.1	0.324571	Cs1g05450.1	0.0866557
OG0007679	MSYJ190210.1	14.5852	Cs4g03710.1	46.3197
OG0007680	MSYJ258230.1	0.771307	Cs3g23160.1	0.32819
OG0007682	MSYJ280830.1	7.73477	Cs7g19940.1	0.0780477
OG0007683	MSYJ195500.1	12.3571	Cs4g17400.1	4.56873
OG0007685	MSYJ136780.1	2.28162	orange1.1t03327.1	1.28257
OG0007686	MSYJ132720.1	35.8975	Cs2g11670.1	33.2656
OG0007687	MSYJ049940.1	24.5404	Cs7g31790.1	22.086
OG0007689	MSYJ080160.1	0	Cs5g32590.1	0.397897
OG0007690	MSYJ046410.1	1.03292	Cs1g22040.1	0.143797
OG0007691	MSYJ059950.1	9.22228	Cs2g27150.1	13.7536
OG0007692	MSYJ112460.1	6.59238	orange1.1t00606.1	5.82683
OG0007693	MSYJ061810.1	13.3177	Cs2g25390.1	8.78663
OG0007694	MSYJ061370.1	12.4319	Cs2g13940.1	17.6613
OG0007695	MSYJ269930.1	0.0439919	Cs5g01500.1	0.0372624
OG0007697	MSYJ175910.1	76.2256	Cs5g10730.1	78.2418
OG0007700	MSYJ251820.1	14.3293	Cs5g27290.1	5.60457
OG0007702	MSYJ253660.1	0.16342	Cs3g27780.1	0.0478093
OG0007705	MSYJ229060.1	304.091	Cs8g07470.1	77.5194
OG0007706	MSYJ046160.1	34.6362	Cs1g22300.1	7.05397
OG0007707	MSYJ120990.1	27.2517	Cs4g04550.1	21.4247
OG0007712	MSYJ004200.1	0	Cs8g07920.1	0
OG0007713	MSYJ051440.1	0.593762	Cs7g30220.1	0.824417
OG0007715	MSYJ200280.1	0.168027	Cs6g04750.1	1.07145
OG0007719	MSYJ193440.1	0	Cs2g30130.1	0
OG0007720	MSYJ134420.1	0.411578	Cs2g13450.2	0.179565
OG0007723	MSYJ152850.1	0	Cs7g22580.1	0
OG0007724	MSYJ278620.1	17.583	Cs1g25640.1	13.4636
OG0007726	MSYJ005260.1	1.01732	orange1.1t02546.1	6.65521
OG0007727	MSYJ218530.1	0	Cs5g31410.1	0
OG0007728	MSYJ192210.1	0.144819	Cs2g31360.1	1.34637
OG0007730	MSYJ023380.1	86.1104	Cs6g09710.2	40.6622
OG0007733	MSYJ257030.1	25.3156	Cs3g24380.1	13.8283
OG0007734	MSYJ247460.1	2.0572	Cs8g09120.1	0.938449
OG0007735	MSYJ117810.1	0.0133	Cs9g18200.1	0
OG0007739	MSYJ008880.1	1.98776	Cs5g25340.1	3.80229
OG0007740	MSYJ046980.1	50.0524	Cs1g21490.1	38.6051
OG0007744	MSYJ064440.1	9.43797	Cs3g18260.2	3.22924
OG0007745	MSYJ061130.1	2.58023	Cs1g10220.1	16.5073
OG0007746	MSYJ035730.1	2.35835	Cs6g16750.1	5.65075
OG0007747	MSYJ075210.1	66.3531	Cs4g02250.1	39.3917
OG0007748	MSYJ120110.1	1666.33	Cs6g21260.1	4256.42
OG0007749	MSYJ119080.1	84.1768	Cs6g22370.1	91.6981
OG0007750	MSYJ112530.1	16.2484	orange1.1t00613.1	8.71822
OG0007751	MSYJ183380.1	0.0209234	Cs2g07730.1	0
OG0007752	MSYJ243090.1	7.69115	Cs7g14830.1	4.26248
OG0007754	MSYJ140890.1	0	Cs9g02600.1	0
OG0007755	MSYJ277700.1	5.4298	Cs1g24710.1	7.78977
OG0007756	MSYJ241800.1	31.2602	orange1.1t02729.1	47.0554
OG0007758	MSYJ089850.1	9.10057	Cs7g16995.1	7.42191
OG0007762	MSYJ286230.1	0	Cs5g18270.1	0
OG0007763	MSYJ255450.1	109.206	Cs3g26020.1	72.4778
OG0007764	MSYJ123980.1	0.556194	Cs4g07720.1	2.23439
OG0007766	MSYJ103610.1	25.1558	Cs8g01680.1	61.2919
OG0007769	MSYJ052790.1	16.385	orange1.1t03831.1	8.73407
OG0007770	MSYJ110930.1	0.404448	orange1.1t00447.1	0.30382
OG0007771	MSYJ036980.1	37.7077	Cs6g17980.1	30.3844
OG0007772	MSYJ075650.1	59.4554	Cs4g02730.2	119.817
OG0007775	MSYJ054050.1	0	Cs2g09310.2	0.0645004
OG0007776	MSYJ076960.1	0.868655	Cs3g04755.1	2.85616
OG0007777	MSYJ250580.1	64.2395	Cs3g22150.1	83.2189
OG0007779	MSYJ205270.1	95.2189	Cs8g18910.2	127.536
OG0007780	MSYJ023170.1	7344.05	Cs6g09970.1	1780.83
OG0007781	MSYJ283380.1	32.6663	Cs1g06525.1	39.734
OG0007786	MSYJ142250.1	22.3302	Cs9g01310.1	22.4781
OG0007787	MSYJ218700.1	36.8662	Cs5g31240.1	93.0489
OG0007788	MSYJ050220.1	0	Cs7g31480.1	0
OG0007792	MSYJ152280.1	16.8772	orange1.1t00050.2	24.7656
OG0007793	MSYJ159830.1	13.8955	Cs7g04540.1	40.5242
OG0007794	MSYJ148640.1	28.6723	Cs4g20290.1	26.6156
OG0007795	MSYJ247230.1	74.0075	Cs8g08850.1	175.47
OG0007796	MSYJ131700.1	1.17266	Cs2g10490.1	0.224068
OG0007797	MSYJ084010.1	13.0688	Cs2g25140.1	15.2589
OG0007798	MSYJ005060.1	0	Cs1g11090.1	0
OG0007799	MSYJ018730.1	2.12744	Cs8g15410.1	13.7743
OG0007802	MSYJ069240.1	0.204333	Cs6g20330.1	0.0832128
OG0007803	MSYJ219800.1	0	Cs5g30120.1	0
OG0007804	MSYJ239890.1	0.059985	Cs9g10310.1	0
OG0007805	MSYJ241940.1	10.7809	Cs5g16000.1	4.48002
OG0007806	MSYJ046720.1	18.8143	Cs1g21710.1	11.7189
OG0007807	MSYJ113830.1	9.04839	orange1.1t01656.1	8.35228
OG0007808	MSYJ037430.1	36.9377	Cs6g18490.1	44.0159
OG0007811	MSYJ097400.1	103.567	orange1.1t02618.1	279.761
OG0007813	MSYJ196380.1	11.6217	Cs4g18320.1	2.33483
OG0007814	MSYJ024510.1	7.05351	orange1.1t01093.1	4.93149
OG0007815	MSYJ206900.1	0.218611	Cs9g14430.1	0
OG0007817	MSYJ133020.1	44.0198	Cs2g11950.1	21.3186
OG0007818	MSYJ050780.1	2.85116	Cs7g30940.1	0.130782
OG0007820	MSYJ167750.1	29.3191	Cs9g05040.1	13.7141
OG0007821	MSYJ142300.1	3.57245	Cs9g01270.1	8.43913
OG0007822	MSYJ120790.1	16.3476	Cs4g04350.1	14.5475
OG0007823	MSYJ252660.1	0.894513	Cs5g26420.1	0.0598802
OG0007824	MSYJ043820.1	16.1618	Cs2g24500.1	20.2971
OG0007825	MSYJ021300.1	42.886	Cs4g13590.1	64.7542
OG0007828	MSYJ054400.1	0.30482	Cs2g08960.1	0
OG0007830	MSYJ041880.1	11.6579	Cs1g14310.1	11.5194
OG0007831	MSYJ019210.1	5.38897	Cs8g15930.1	0.566511
OG0007832	MSYJ142550.1	7.40445	Cs8g01860.1	4.16105
OG0007833	MSYJ030250.1	1.02113	Cs6g10580.1	0.393394
OG0007836	MSYJ036750.1	0.136341	Cs6g17750.1	2.23769
OG0007837	MSYJ048440.1	22.2436	Cs1g20100.1	30.6731
OG0007840	MSYJ180200.1	0	Cs7g21300.1	3.05355
OG0007841	MSYJ159250.1	6.69836	orange1.1t04184.1	11.7005
OG0007842	MSYJ019220.1	10.927	Cs8g15940.1	11.4994
OG0007843	MSYJ064920.1	1.00495	Cs3g17690.1	0.340088
OG0007845	MSYJ118120.1	14.9668	Cs9g18620.1	11.5385
OG0007846	MSYJ037710.1	1.42842	Cs6g18760.1	2.02351
OG0007848	MSYJ028400.1	12.1436	Cs2g20490.1	16.6738
OG0007849	MSYJ033330.1	3.96944	Cs6g14100.1	2.5562
OG0007850	MSYJ103350.1	0	Cs8g01380.1	0.151716
OG0007852	MSYJ137160.1	0.266509	Cs1g03910.1	0.0398842
OG0007854	MSYJ287810.1	6.27982	Cs7g07980.1	1.56099
OG0007855	MSYJ158120.1	7.0786	Cs7g23090.1	18.1026
OG0007856	MSYJ119430.1	1.96734	Cs6g22000.1	0.761603
OG0007857	MSYJ208840.1	18.5146	Cs7g12320.1	12.2105
OG0007858	MSYJ218140.1	16.1591	Cs5g31910.1	17.1532
OG0007859	MSYJ193780.1	21.9011	Cs2g01060.1	23.3024
OG0007860	MSYJ056660.1	0	Cs2g18920.1	0
OG0007861	MSYJ067190.1	0	Cs3g15280.1	0
OG0007864	MSYJ142490.1	9.02716	Cs9g01050.1	2.27186
OG0007865	MSYJ149600.1	10.5061	Cs7g24450.1	14.0178
OG0007867	MSYJ233470.1	1.14507	Cs5g03220.1	0.248556
OG0007868	MSYJ080960.1	0	Cs9g18770.1	0
OG0007870	MSYJ031010.1	301.107	Cs6g11540.1	7.47022
OG0007871	MSYJ175640.1	0.47712	Cs5g10500.1	1.62545
OG0007872	MSYJ208960.1	18.8142	Cs7g12440.1	19.2229
OG0007873	MSYJ245800.1	92.4353	Cs8g05050.1	74.7781
OG0007874	MSYJ045600.1	2.61352	Cs7g12060.1	2.22716
OG0007875	MSYJ234730.1	13.9002	Cs5g01890.1	12.9471
OG0007882	MSYJ046000.1	0.521651	orange1.1t04064.1	0
OG0007884	MSYJ092950.1	4.37977	Cs5g06740.1	0.385563
OG0007887	MSYJ190660.1	0	Cs4g03280.1	0
OG0007888	MSYJ141580.1	34.0097	Cs9g01930.1	48.0925
OG0007890	MSYJ129440.1	0	Cs5g28370.1	0
OG0007892	MSYJ035430.1	33.3275	Cs6g16440.1	39.9485
OG0007894	MSYJ038330.1	8.17769	Cs6g19350.1	0.231254
OG0007895	MSYJ276120.1	0	Cs1g23080.1	0
OG0007899	MSYJ179880.1	15.8461	Cs7g21100.1	36.8101
OG0007900	MSYJ027860.1	0.289589	orange1.1t05133.1	0.82721
OG0007903	MSYJ128790.1	81.0179	orange1.1t03073.1	32.0197
OG0007904	MSYJ277930.1	3.71395	Cs1g24940.1	0.668084
OG0007906	MSYJ253950.1	10.8257	Cs3g27510.3	16.8118
OG0007907	MSYJ192260.1	0.511543	Cs2g31330.1	0.133904
OG0007908	MSYJ066040.1	146.313	Cs3g16530.1	155.639
OG0007912	MSYJ123510.1	111.582	Cs4g07280.1	77.8168
OG0007913	MSYJ123660.1	10.603	Cs4g07440.1	16.6138
OG0007915	MSYJ167480.1	0.405071	Cs9g05370.1	0.580502
OG0007916	MSYJ139120.1	48.7287	Cs1g13980.1	54.2433
OG0007917	MSYJ051320.1	0.0543425	Cs7g30340.1	0
OG0007918	MSYJ233190.1	24.0786	Cs5g03510.1	29.5942
OG0007919	MSYJ074660.1	33.1746	Cs4g01730.1	42.07
OG0007920	MSYJ046910.1	90.4123	Cs1g21550.1	39.3905
OG0007921	MSYJ145420.1	89.4715	Cs7g29540.1	109.626
OG0007923	MSYJ008800.1	9.52776	Cs5g25450.1	8.83725
OG0007925	MSYJ276390.1	108.917	Cs1g23420.1	142.106
OG0007926	MSYJ060200.1	1.30495	Cs2g26900.1	0.588039
OG0007927	MSYJ226470.1	52.2666	orange1.1t03977.1	231.36
OG0007928	MSYJ206110.1	0.361003	Cs8g18090.1	0
OG0007929	MSYJ176730.1	43.0939	Cs5g11660.1	50.0922
OG0007930	MSYJ196600.1	0.864799	Cs8g13410.1	0
OG0007932	MSYJ007540.1	3.42411	orange1.1t00713.1	8.20918
OG0007933	MSYJ185480.1	0	Cs2g05500.1	0.0994224
OG0007935	MSYJ036110.1	1.91554	Cs6g17120.1	0.156341
OG0007936	MSYJ075470.1	13.7257	Cs4g02570.2	5.59534
OG0007938	MSYJ156540.1	0	Cs7g06080.1	0.093626
OG0007943	MSYJ200630.1	8.04857	Cs6g04120.1	2.19177
OG0007944	MSYJ211250.1	0.106545	Cs9g17380.1	0.359594
OG0007945	MSYJ187480.1	0.484409	Cs2g03470.1	0.26001
OG0007946	MSYJ130650.1	6.93887	orange1.1t03420.1	1.46897
OG0007948	MSYJ211390.1	30.054	Cs9g17550.1	7.36878
OG0007949	MSYJ133000.1	4.71779	Cs2g11930.1	1.80367
OG0007950	MSYJ156820.1	0.461404	Cs7g05760.1	0.75681
OG0007951	MSYJ076060.1	33.5203	Cs6g08950.1	63.4624
OG0007953	MSYJ083270.1	4.84697	Cs2g23200.1	19.4529
OG0007954	MSYJ184340.1	20.66	Cs2g06770.1	97.7142
OG0007956	MSYJ066140.1	0.0893079	Cs3g16430.1	1.17927
OG0007957	MSYJ158270.1	7.70848	Cs7g23340.1	37.3787
OG0007958	MSYJ276740.1	2.38595	Cs1g23770.1	2.24394
OG0007960	MSYJ027110.1	2.07123	Cs2g21840.1	0.33902
OG0007961	MSYJ019200.1	0.417404	Cs8g15920.1	0
OG0007964	MSYJ131870.1	28.2188	Cs2g10700.1	0
OG0007965	MSYJ041900.1	0	orange1.1t05641.1	0
OG0007966	MSYJ031520.1	13.9641	orange1.1t02243.1	337.541
OG0007968	MSYJ117100.1	0	Cs5g22060.1	0.12995
OG0007969	MSYJ157190.1	0	Cs7g05330.1	0
OG0007970	MSYJ106270.1	3.48621	Cs5g09110.1	0.989415
OG0007971	MSYJ155120.1	0.0795878	Cs7g13930.1	0.336984
OG0007972	MSYJ157290.1	309.586	Cs7g05220.1	144.23
OG0007974	MSYJ185020.1	1.03097	Cs2g06070.1	9.40629
OG0007976	MSYJ111830.1	1.04421	orange1.1t00542.1	1.51278
OG0007977	MSYJ027510.1	0.122432	Cs2g21490.1	0.211047
OG0007980	MSYJ096770.1	61.8811	orange1.1t02985.1	12.188
OG0007982	MSYJ098470.1	0	Cs1g02140.1	0
OG0007983	MSYJ111410.1	7.22234	orange1.1t00499.1	6.78429
OG0007984	MSYJ065990.1	17.5207	Cs3g16580.1	13.2785
OG0007987	MSYJ243550.1	0	Cs3g10720.1	0
OG0007989	MSYJ222040.1	0.656964	Cs9g11800.1	0.809768
OG0007991	MSYJ257410.1	119.483	Cs3g23950.1	30.8124
OG0007992	MSYJ138430.1	7.75955	Cs1g13210.1	4.75154
OG0007993	MSYJ183510.1	18.225	Cs2g07610.1	13.1539
OG0007994	MSYJ007340.1	0	Cs5g14740.1	6.59283
OG0007995	MSYJ152630.1	4.13497	Cs2g23125.1	495.503
OG0007996	MSYJ067660.1	55.4165	Cs3g14850.3	49.7904
OG0007997	MSYJ281660.1	1.41649	Cs7g19130.1	1.00496
OG0008000	MSYJ110670.1	15.6251	orange1.1t00420.1	6.99893
OG0008001	MSYJ250610.1	1.07652	Cs3g22170.1	0
OG0008003	MSYJ199690.1	52.1371	Cs1g09110.1	144.571
OG0008004	MSYJ161260.1	37.0745	Cs7g03150.1	153.709
OG0008006	MSYJ000660.1	9.27834	Cs3g03740.1	7.30485
OG0008007	MSYJ024120.1	44.5916	orange1.1t01046.1	98.0063
OG0008008	MSYJ079150.1	65.7017	Cs4g15490.1	52.3982
OG0008010	MSYJ068260.1	25.2675	Cs3g14290.1	143.351
OG0008014	MSYJ051470.1	0.669667	Cs7g30190.1	0
OG0008015	MSYJ264640.1	14.5432	Cs7g11340.2	30.6769
OG0008017	MSYJ115220.1	50.5339	Cs5g33140.1	141.118
OG0008018	MSYJ157610.1	4.83845	Cs7g04870.1	22.0865
OG0008022	MSYJ142080.1	38.0857	Cs9g01490.1	173.842
OG0008023	MSYJ019140.1	0.708354	Cs8g15840.1	0
OG0008025	MSYJ182300.1	10.0154	Cs1g22780.1	4.70377
OG0008027	MSYJ127970.1	8.54397	Cs1g12250.1	20.1119
OG0008029	MSYJ208070.1	0	orange1.1t03944.1	0
OG0008030	MSYJ177460.1	73.8454	Cs7g25800.1	69.2988
OG0008031	MSYJ232410.1	153.822	Cs5g04290.1	451.789
OG0008032	MSYJ267190.1	1.35393	orange1.1t02092.1	0.827386
OG0008033	MSYJ162270.1	0	Cs7g02100.1	0
OG0008034	MSYJ120190.1	19.3742	Cs6g21160.1	8.16157
OG0008036	MSYJ175920.1	26.3477	Cs5g10740.1	68.6709
OG0008037	MSYJ021360.1	6.92279	Cs4g13530.1	8.77807
OG0008039	MSYJ180660.1	0	Cs8g12860.1	0.325521
